userName,score,at,content,Label,text_clean,text_StopWord,text_tokens,text_steamindo
Linda Lidyawati,1,2023-08-16 16:08:33,"Gopay later saya sejak upgrade gopay later MAB tidak bisa dipake buat bayar pesenan, padahal saldo saya utuh, sudah lapor bantuan katanya disuruh log out lalu log in lagi, sudah saya lakukan tapi tetep gopay later gak bisa buat bayar. Terus disuruh coba buka gopay di HP lain, sudah saya lakukan, tetep aja gopay later gak bisa dipake. Gak ada no telp call center supaya lebih cepat menyelesaikan masalah. Cape kalau harus ngetik, udah itu solusinya gak bisa dipake. Parah nih gopay later MAB.",Negatif,gopay later saya sejak upgrade gopay later mab tidak bisa dipake buat bayar pesenan padahal saldo saya utuh sudah lapor bantuan katanya disuruh log out lalu log in lagi sudah saya lakukan tapi tetep gopay later gak bisa buat bayar terus disuruh coba buka gopay di hp lain sudah saya lakukan tetep aja gopay later gak bisa dipake gak ada no telp call center supaya lebih cepat menyelesaikan masalah cape kalau harus ngetik udah itu solusinya gak bisa dipake parah nih gopay later mab,gopay later upgrade gopay later mab dipake bayar pesenan saldo utuh lapor bantuan disuruh log out log in lakukan tetep gopay later gak bayar disuruh coba buka gopay hp lakukan tetep aja gopay later gak dipake gak no telp call center cepat menyelesaikan cape ngetik udah solusinya gak dipake parah nih gopay later mab,"['gopay', 'later', 'upgrade', 'gopay', 'later', 'mab', 'dipake', 'bayar', 'pesenan', 'saldo', 'utuh', 'lapor', 'bantuan', 'disuruh', 'log', 'out', 'log', 'in', 'lakukan', 'tetep', 'gopay', 'later', 'gak', 'bayar', 'disuruh', 'coba', 'buka', 'gopay', 'hp', 'lakukan', 'tetep', 'aja', 'gopay', 'later', 'gak', 'dipake', 'gak', 'no', 'telp', 'call', 'center', 'cepat', 'menyelesaikan', 'cape', 'ngetik', 'udah', 'solusinya', 'gak', 'dipake', 'parah', 'nih', 'gopay', 'later', 'mab']",gopay later upgrade gopay later mab dipake bayar sen saldo utuh lapor bantu suruh log out log in laku tetep gopay later gak bayar suruh coba buka gopay hp laku tetep aja gopay later gak dipake gak no telp call center cepat selesai cape ngetik udah solusi gak dipake parah nih gopay later mab
Niko Demus,1,2023-08-16 13:27:32,"Sistem aplikasi sangat lambat,kurang sat set,kalo lgi loading tuh,ujung2nya gagal,internetnya mati,pdhal hidup internetnya,tak sambi main game online,buka apl lain lancar jaya,cuma di apl gojek aja yg lambat,responnya sngat lambat,keburu kelaparan kalo sistemnya lambat begini",Negatif,sistem aplikasi sangat lambatkurang sat setkalo lgi loading tuhujungnya gagalinternetnya matipdhal hidup internetnyatak sambi main game onlinebuka apl lain lancar jayacuma di apl gojek aja yg lambatresponnya sngat lambatkeburu kelaparan kalo sistemnya lambat begini,sistem aplikasi lambatkurang sat setkalo lgi loading tuhujungnya gagalinternetnya matipdhal hidup internetnyatak sambi main game onlinebuka apl lancar jayacuma apl gojek aja yg lambatresponnya sngat lambatkeburu kelaparan kalo sistemnya lambat,"['sistem', 'aplikasi', 'lambatkurang', 'sat', 'setkalo', 'lgi', 'loading', 'tuhujungnya', 'gagalinternetnya', 'matipdhal', 'hidup', 'internetnyatak', 'sambi', 'main', 'game', 'onlinebuka', 'apl', 'lancar', 'jayacuma', 'apl', 'gojek', 'aja', 'yg', 'lambatresponnya', 'sngat', 'lambatkeburu', 'kelaparan', 'kalo', 'sistemnya', 'lambat']",sistem aplikasi lambatkurang sat setkalo lgi loading tuhujungnya gagalinternetnya matipdhal hidup internetnyatak sambi main game onlinebuka apl lancar jayacuma apl gojek aja yg lambatresponnya sngat lambatkeburu lapar kalo sistem lambat
Dilla Pudding,1,2023-08-16 12:37:26,go club hanya menguntungkan pihak gopay sudah susah payah naikin exp go club malah turun lagi padahal itu sangat susah naikinya aplikasi yang tidak menguntungkan konsumen makin lama makin buruk 👎👎👎,Negatif,go club hanya menguntungkan pihak gopay sudah susah payah naikin exp go club malah turun lagi padahal itu sangat susah naikinya aplikasi yang tidak menguntungkan konsumen makin lama makin buruk ,go club menguntungkan gopay susah payah naikin exp go club turun susah naikinya aplikasi menguntungkan konsumen buruk,"['go', 'club', 'menguntungkan', 'gopay', 'susah', 'payah', 'naikin', 'exp', 'go', 'club', 'turun', 'susah', 'naikinya', 'aplikasi', 'menguntungkan', 'konsumen', 'buruk']",go club untung gopay susah payah naikin exp go club turun susah naik aplikasi untung konsumen buruk
Chandra Hary,1,2023-08-16 12:11:47,"Aplikasi nya Buruk banget, apgred Gopay plus gak bisa , mau bayar Pake Go Pay gangguan mulu sinyalnya padahal penuh , udah top up mau di transfer ke rekening bank gak bisa .",Negatif,aplikasi nya buruk banget apgred gopay plus gak bisa  mau bayar pake go pay gangguan mulu sinyalnya padahal penuh  udah top up mau di transfer ke rekening bank gak bisa ,aplikasi nya buruk banget apgred gopay plus gak bayar pake go pay gangguan mulu sinyalnya penuh udah top up transfer rekening bank gak,"['aplikasi', 'nya', 'buruk', 'banget', 'apgred', 'gopay', 'plus', 'gak', 'bayar', 'pake', 'go', 'pay', 'gangguan', 'mulu', 'sinyalnya', 'penuh', 'udah', 'top', 'up', 'transfer', 'rekening', 'bank', 'gak']",aplikasi nya buruk banget apgred gopay plus gak bayar pake go pay ganggu mulu sinyal penuh udah top up transfer rekening bank gak
Bayu Samudra Rifa,2,2023-08-16 11:10:32,"Mau upgrade GoPaylater disuruh bayar tagihan yang ada terlebih dahulu, setelah saya TopUp dan saya bayar, lalu mau ajukan Upgrade GoPaylater ditolak, dan malah tidak bisa menggunakan GoPaylater sama sekali, padahal sudah 1tahun pakai GoPaylater bayar tidak pernah telat dan limit masih 100.000 sampai saat ini, kini malah gak bisa pakai sama sekali. Kecewa, jadi ingin beralih ke layanan lainnya.",Negatif,mau upgrade gopaylater disuruh bayar tagihan yang ada terlebih dahulu setelah saya topup dan saya bayar lalu mau ajukan upgrade gopaylater ditolak dan malah tidak bisa menggunakan gopaylater sama sekali padahal sudah tahun pakai gopaylater bayar tidak pernah telat dan limit masih  sampai saat ini kini malah gak bisa pakai sama sekali kecewa jadi ingin beralih ke layanan lainnya,upgrade gopaylater disuruh bayar tagihan topup bayar ajukan upgrade gopaylater ditolak gopaylater pakai gopaylater bayar telat limit gak pakai kecewa beralih layanan,"['upgrade', 'gopaylater', 'disuruh', 'bayar', 'tagihan', 'topup', 'bayar', 'ajukan', 'upgrade', 'gopaylater', 'ditolak', 'gopaylater', 'pakai', 'gopaylater', 'bayar', 'telat', 'limit', 'gak', 'pakai', 'kecewa', 'beralih', 'layanan']",upgrade gopaylater suruh bayar tagih topup bayar aju upgrade gopaylater tolak gopaylater pakai gopaylater bayar telat limit gak pakai kecewa alih layan
Heya Andre,1,2023-08-16 09:12:27,"Kenapa sih waktu saya mau checkout makanan selalu terkendala masalah internet, padahal buka aplikasi lain lancar saja, mau laporan di aplikasi malah ga bisa , selalu menghubungkan ulang Ini bug apa gimanaa, tolong diperbaiki",Negatif,kenapa sih waktu saya mau checkout makanan selalu terkendala masalah internet padahal buka aplikasi lain lancar saja mau laporan di aplikasi malah ga bisa  selalu menghubungkan ulang ini bug apa gimanaa tolong diperbaiki,sih checkout makanan terkendala internet buka aplikasi lancar laporan aplikasi ga menghubungkan ulang bug gimanaa tolong diperbaiki,"['sih', 'checkout', 'makanan', 'terkendala', 'internet', 'buka', 'aplikasi', 'lancar', 'laporan', 'aplikasi', 'ga', 'menghubungkan', 'ulang', 'bug', 'gimanaa', 'tolong', 'diperbaiki']",sih checkout makan kendala internet buka aplikasi lancar lapor aplikasi ga hubung ulang bug gimanaa tolong baik
Nanda Insan Saputra,1,2023-08-16 08:57:43,"Melakukan pembayaran d mytelkomsel tidak bisa pakai gopay, aplikasi sy ada dan aktif, pas di klik gopay tidak masuk k aplikasi gojek",Negatif,melakukan pembayaran d mytelkomsel tidak bisa pakai gopay aplikasi sy ada dan aktif pas di klik gopay tidak masuk k aplikasi gojek,pembayaran d mytelkomsel pakai gopay aplikasi sy aktif pas klik gopay masuk k aplikasi gojek,"['pembayaran', 'd', 'mytelkomsel', 'pakai', 'gopay', 'aplikasi', 'sy', 'aktif', 'pas', 'klik', 'gopay', 'masuk', 'k', 'aplikasi', 'gojek']",bayar d mytelkomsel pakai gopay aplikasi sy aktif pas klik gopay masuk k aplikasi gojek
nidaul jihad,5,2023-08-16 07:01:01,drivernya ramah dan sopan dan fasilitas kendaraan nya bersih,Positif,drivernya ramah dan sopan dan fasilitas kendaraan nya bersih,drivernya ramah sopan fasilitas kendaraan nya bersih,"['drivernya', 'ramah', 'sopan', 'fasilitas', 'kendaraan', 'nya', 'bersih']",drivernya ramah sopan fasilitas kendara nya bersih
Kausar Vans,5,2023-08-16 06:36:25,"Kenapa aplikasi saya tidak ada layanan gopaylater nya, padahal sebelum nya saya punya tapi di akun lama saya dan saya tidak tahu lagi akun dan nomor ponsel saya yang lama, tolong di bantu aktifkan layana gopaylater saya",Positif,kenapa aplikasi saya tidak ada layanan gopaylater nya padahal sebelum nya saya punya tapi di akun lama saya dan saya tidak tahu lagi akun dan nomor ponsel saya yang lama tolong di bantu aktifkan layana gopaylater saya,aplikasi layanan gopaylater nya nya akun akun nomor ponsel tolong bantu aktifkan layana gopaylater,"['aplikasi', 'layanan', 'gopaylater', 'nya', 'nya', 'akun', 'akun', 'nomor', 'ponsel', 'tolong', 'bantu', 'aktifkan', 'layana', 'gopaylater']",aplikasi layan gopaylater nya nya akun akun nomor ponsel tolong bantu aktif layana gopaylater
Rizky Putri Lestari,1,2023-08-16 05:56:44,apk nya gajelas lemot terus. udah gitu muncul notiff internet mati padahal internet nya lancar!,Negatif,apk nya gajelas lemot terus udah gitu muncul notiff internet mati padahal internet nya lancar,apk nya gajelas lemot udah gitu muncul notiff internet mati internet nya lancar,"['apk', 'nya', 'gajelas', 'lemot', 'udah', 'gitu', 'muncul', 'notiff', 'internet', 'mati', 'internet', 'nya', 'lancar']",apk nya gajelas lot udah gitu muncul notiff internet mati internet nya lancar
M Rifqi Ananda Putra,1,2023-08-16 05:10:27,"Memang buat aneh aja inj jadi nya,akun gojek saya sampai sampai tidak bisa dipakai lagi memesan makananan dan gojek. Saya udah banyak² terus dulu memesan,eh skrng malah eror gimana ini jadi nya aplikasi. Tertulis KAMI MENDETEKSI PEMAKAIAN YANG TIDAK BIASA. Saya pakai biasa biasa aja ini-_-aplikasi gojek untuk pesan makanan nya.",Negatif,memang buat aneh aja inj jadi nyaakun gojek saya sampai sampai tidak bisa dipakai lagi memesan makananan dan gojek saya udah banyak terus dulu memesaneh skrng malah eror gimana ini jadi nya aplikasi tertulis kami mendeteksi pemakaian yang tidak biasa saya pakai biasa biasa aja iniaplikasi gojek untuk pesan makanan nya,aneh aja inj nyaakun gojek dipakai memesan makananan gojek udah memesaneh skrng eror gimana nya aplikasi tertulis mendeteksi pemakaian pakai aja iniaplikasi gojek pesan makanan nya,"['aneh', 'aja', 'inj', 'nyaakun', 'gojek', 'dipakai', 'memesan', 'makananan', 'gojek', 'udah', 'memesaneh', 'skrng', 'eror', 'gimana', 'nya', 'aplikasi', 'tertulis', 'mendeteksi', 'pemakaian', 'pakai', 'aja', 'iniaplikasi', 'gojek', 'pesan', 'makanan', 'nya']",aneh aja inj nyaakun gojek pakai mes makananan gojek udah memesaneh skrng eror gimana nya aplikasi tulis deteksi pakai pakai aja iniaplikasi gojek pesan makan nya
Syukron Ubaidillah,2,2023-08-16 04:40:47,Tolong lah min.. Setiap mau bayar tagihan gopay pinjam pasti ada kendala ga mau masuk ke menu gopay pinjm nya min.. Tolong lah..,Negatif,tolong lah min setiap mau bayar tagihan gopay pinjam pasti ada kendala ga mau masuk ke menu gopay pinjm nya min tolong lah,tolong min bayar tagihan gopay pinjam kendala ga masuk menu gopay pinjm nya min tolong,"['tolong', 'min', 'bayar', 'tagihan', 'gopay', 'pinjam', 'kendala', 'ga', 'masuk', 'menu', 'gopay', 'pinjm', 'nya', 'min', 'tolong']",tolong min bayar tagih gopay pinjam kendala ga masuk menu gopay pinjm nya min tolong
hermika purba,5,2023-08-16 00:22:39,Gak pernah kecewa. Semoga selalu memberikan pelayanan terbaik dengan harga tetap terjangkau.,Positif,gak pernah kecewa semoga selalu memberikan pelayanan terbaik dengan harga tetap terjangkau,gak kecewa semoga pelayanan terbaik harga terjangkau,"['gak', 'kecewa', 'semoga', 'pelayanan', 'terbaik', 'harga', 'terjangkau']",gak kecewa moga layan baik harga jangkau
toni brebes,5,2023-08-15 23:44:06,sangat membatu dan mudah transaksi nya tinggal klic...klic beres dah semoga slalu aman dan nyaman dalam menjaga ankun penggunanya the besss pokok nya.,Positif,sangat membatu dan mudah transaksi nya tinggal klicklic beres dah semoga slalu aman dan nyaman dalam menjaga ankun penggunanya the besss pokok nya,membatu mudah transaksi nya tinggal klicklic beres dah semoga slalu aman nyaman menjaga ankun penggunanya the besss pokok nya,"['membatu', 'mudah', 'transaksi', 'nya', 'tinggal', 'klicklic', 'beres', 'dah', 'semoga', 'slalu', 'aman', 'nyaman', 'menjaga', 'ankun', 'penggunanya', 'the', 'besss', 'pokok', 'nya']",batu mudah transaksi nya tinggal klicklic beres dah moga slalu aman nyaman jaga ankun guna the besss pokok nya
Muhammad arifin,5,2023-08-15 23:04:35,"Udh pake sejak lama, nggak mau ganti yg lain, ringan dan simpel, komplit, buat bayar ini itu nggak ribet, banyak promo,.. mantap lah",Positif,udh pake sejak lama nggak mau ganti yg lain ringan dan simpel komplit buat bayar ini itu nggak ribet banyak promo mantap lah,udh pake nggak ganti yg ringan simpel komplit bayar nggak ribet promo mantap,"['udh', 'pake', 'nggak', 'ganti', 'yg', 'ringan', 'simpel', 'komplit', 'bayar', 'nggak', 'ribet', 'promo', 'mantap']",udh pake nggak ganti yg ringan simpel komplit bayar nggak ribet promo mantap
Hadi Prayitno,1,2023-08-15 14:55:46,"Tolong driver2nya ditraining... Kirim barang minta ongkos parkir, giliran diminta bukti/tiket parkirnya bilangnya gak ada, gak di ambil dll...gak dikasih ongkos parkir marah2, training tuh driver2nya supaya tau mana hak & kewajiban konsumen!!!",Negatif,tolong drivernya ditraining kirim barang minta ongkos parkir giliran diminta buktitiket parkirnya bilangnya gak ada gak di ambil dllgak dikasih ongkos parkir marah training tuh drivernya supaya tau mana hak  kewajiban konsumen,tolong drivernya ditraining kirim barang ongkos parkir giliran buktitiket parkirnya bilangnya gak gak ambil dllgak dikasih ongkos parkir marah training tuh drivernya tau hak kewajiban konsumen,"['tolong', 'drivernya', 'ditraining', 'kirim', 'barang', 'ongkos', 'parkir', 'giliran', 'buktitiket', 'parkirnya', 'bilangnya', 'gak', 'gak', 'ambil', 'dllgak', 'dikasih', 'ongkos', 'parkir', 'marah', 'training', 'tuh', 'drivernya', 'tau', 'hak', 'kewajiban', 'konsumen']",tolong drivernya ditraining kirim barang ongkos parkir gilir buktitiket parkir bilang gak gak ambil dllgak kasih ongkos parkir marah training tuh drivernya tau hak wajib konsumen
Ariz Qillah,2,2023-08-15 13:47:25,"Aplikasi sebelah masih lumayan cepet loadingnya. Padahal udah update versi terbaru, tapi loadingnya lemot banget",Negatif,aplikasi sebelah masih lumayan cepet loadingnya padahal udah update versi terbaru tapi loadingnya lemot banget,aplikasi sebelah lumayan cepet loadingnya udah update versi terbaru loadingnya lemot banget,"['aplikasi', 'sebelah', 'lumayan', 'cepet', 'loadingnya', 'udah', 'update', 'versi', 'terbaru', 'loadingnya', 'lemot', 'banget']",aplikasi belah lumayan cepet loadingnya udah update versi baru loadingnya lot banget
airlangga sailendra,1,2023-08-15 13:30:48,Update terbaru sangat tidak memuaskan... Keman peta untuk memantau posisi driver gofood..,Negatif,update terbaru sangat tidak memuaskan keman peta untuk memantau posisi driver gofood,update terbaru memuaskan keman peta memantau posisi driver gofood,"['update', 'terbaru', 'memuaskan', 'keman', 'peta', 'memantau', 'posisi', 'driver', 'gofood']",update baru muas keman peta pantau posisi driver gofood
Fajar Feriadi,5,2023-08-15 13:14:30,"Sering pakai gofood dsini, tp ongkir nya gak sedikit mahal kalau ada promo ongkir nya yg di gedein jdi sama aja, cuman pelayanan driver nya cepat iru yg saya suka dan makanan2 nya enak2",Positif,sering pakai gofood dsini tp ongkir nya gak sedikit mahal kalau ada promo ongkir nya yg di gedein jdi sama aja cuman pelayanan driver nya cepat iru yg saya suka dan makanan nya enak,pakai gofood dsini tp ongkir nya gak mahal promo ongkir nya yg gedein jdi aja cuman pelayanan driver nya cepat iru yg suka makanan nya enak,"['pakai', 'gofood', 'dsini', 'tp', 'ongkir', 'nya', 'gak', 'mahal', 'promo', 'ongkir', 'nya', 'yg', 'gedein', 'jdi', 'aja', 'cuman', 'pelayanan', 'driver', 'nya', 'cepat', 'iru', 'yg', 'suka', 'makanan', 'nya', 'enak']",pakai gofood dsini tp ongkir nya gak mahal promo ongkir nya yg gedein jdi aja cuman layan driver nya cepat iru yg suka makan nya enak
Apri Jan,1,2023-08-15 10:30:17,Aplikasi gopay sekarang sudah ngk bagus. Tidak bisa trf ke bank. Jelek sekarang ini apliaksi,Negatif,aplikasi gopay sekarang sudah ngk bagus tidak bisa trf ke bank jelek sekarang ini apliaksi,aplikasi gopay ngk bagus trf bank jelek apliaksi,"['aplikasi', 'gopay', 'ngk', 'bagus', 'trf', 'bank', 'jelek', 'apliaksi']",aplikasi gopay ngk bagus trf bank jelek apliaksi
محمد صالحن,1,2023-08-15 09:31:23,"Terlalu sering di obrak abrik aplikasinya. Di update untuk perbaikan layanan, transfer uang malah mulai dr status menunggu sampe akhirnya berhasil dananya ga masuk ke bank entah kemana. Malah disuruh hubungi bank.",Negatif,terlalu sering di obrak abrik aplikasinya di update untuk perbaikan layanan transfer uang malah mulai dr status menunggu sampe akhirnya berhasil dananya ga masuk ke bank entah kemana malah disuruh hubungi bank,obrak abrik aplikasinya update perbaikan layanan transfer uang dr status menunggu sampe berhasil dananya ga masuk bank kemana disuruh hubungi bank,"['obrak', 'abrik', 'aplikasinya', 'update', 'perbaikan', 'layanan', 'transfer', 'uang', 'dr', 'status', 'menunggu', 'sampe', 'berhasil', 'dananya', 'ga', 'masuk', 'bank', 'kemana', 'disuruh', 'hubungi', 'bank']",obrak abrik aplikasi update baik layan transfer uang dr status tunggu sampe hasil dana ga masuk bank mana suruh hubung bank
Novi Yanti,1,2023-08-15 09:15:37,kecewa mendalam sama gocar. pasang tarif gocar XL untuk 6 penumpang tapi ga mau bawa sewa orderan saya hanya karna ada 2 bayi dia ga mau ngambil sewa beralasan jok belakang ga bisa di pakai masa bisa 3 driver beralasan yg sama . aneh ...,Negatif,kecewa mendalam sama gocar pasang tarif gocar xl untuk  penumpang tapi ga mau bawa sewa orderan saya hanya karna ada  bayi dia ga mau ngambil sewa beralasan jok belakang ga bisa di pakai masa bisa  driver beralasan yg sama  aneh ,kecewa mendalam gocar pasang tarif gocar xl penumpang ga bawa sewa orderan karna bayi ga ngambil sewa beralasan jok ga pakai driver beralasan yg aneh,"['kecewa', 'mendalam', 'gocar', 'pasang', 'tarif', 'gocar', 'xl', 'penumpang', 'ga', 'bawa', 'sewa', 'orderan', 'karna', 'bayi', 'ga', 'ngambil', 'sewa', 'beralasan', 'jok', 'ga', 'pakai', 'driver', 'beralasan', 'yg', 'aneh']",kecewa dalam gocar pasang tarif gocar xl tumpang ga bawa sewa order karna bayi ga ngambil sewa alas jok ga pakai driver alas yg aneh
Asmara Aulia Chaniago,4,2023-08-15 09:04:39,"Tolong perbaiki, saat mau bayar pulsa dari my Telkomsel pakai gopay malah masuk ke playstore Gojek. Tidak langsung ke aplikasi dan masukkan pin pembayaran.",Positif,tolong perbaiki saat mau bayar pulsa dari my telkomsel pakai gopay malah masuk ke playstore gojek tidak langsung ke aplikasi dan masukkan pin pembayaran,tolong perbaiki bayar pulsa my telkomsel pakai gopay masuk playstore gojek langsung aplikasi masukkan pin pembayaran,"['tolong', 'perbaiki', 'bayar', 'pulsa', 'my', 'telkomsel', 'pakai', 'gopay', 'masuk', 'playstore', 'gojek', 'langsung', 'aplikasi', 'masukkan', 'pin', 'pembayaran']",tolong baik bayar pulsa my telkomsel pakai gopay masuk playstore gojek langsung aplikasi masuk pin bayar
PARHAN VIKRIYANSAH [AN],1,2023-08-15 07:41:32,Setelah update gak bisa melakukan pembayaran di Telkomsel Topup game jadi susah. Gimana sih ini makin aneh gopay,Negatif,setelah update gak bisa melakukan pembayaran di telkomsel topup game jadi susah gimana sih ini makin aneh gopay,update gak pembayaran telkomsel topup game susah gimana sih aneh gopay,"['update', 'gak', 'pembayaran', 'telkomsel', 'topup', 'game', 'susah', 'gimana', 'sih', 'aneh', 'gopay']",update gak bayar telkomsel topup game susah gimana sih aneh gopay
Aditya Putra,1,2023-08-15 07:04:36,"Internet selalu tidak stabil saat menggunakan aplikasi, padahal aplikasi lain lancar, sudah coba ganti wifi dan data seluler hasilnya tetap sama",Negatif,internet selalu tidak stabil saat menggunakan aplikasi padahal aplikasi lain lancar sudah coba ganti wifi dan data seluler hasilnya tetap sama,internet stabil aplikasi aplikasi lancar coba ganti wifi data seluler hasilnya,"['internet', 'stabil', 'aplikasi', 'aplikasi', 'lancar', 'coba', 'ganti', 'wifi', 'data', 'seluler', 'hasilnya']",internet stabil aplikasi aplikasi lancar coba ganti wifi data seluler hasil
Andre Irwan,1,2023-08-15 06:05:55,"pembayaran telkomsel susah, ga bisa langsung masuk aplikasi.. malah ke play store terus.",Negatif,pembayaran telkomsel susah ga bisa langsung masuk aplikasi malah ke play store terus,pembayaran telkomsel susah ga langsung masuk aplikasi play store,"['pembayaran', 'telkomsel', 'susah', 'ga', 'langsung', 'masuk', 'aplikasi', 'play', 'store']",bayar telkomsel susah ga langsung masuk aplikasi play store
yustika 898,5,2023-08-15 05:54:19,"Semakin nambah tingkat semakin banyak discount, dan kemudahan serta keamanan lebih terjamin. Lokasi sesuai detail tertera",Positif,semakin nambah tingkat semakin banyak discount dan kemudahan serta keamanan lebih terjamin lokasi sesuai detail tertera,nambah tingkat discount kemudahan keamanan terjamin lokasi sesuai detail tertera,"['nambah', 'tingkat', 'discount', 'kemudahan', 'keamanan', 'terjamin', 'lokasi', 'sesuai', 'detail', 'tertera']",nambah tingkat discount mudah aman jamin lokasi sesuai detail tera
PondoKemangi,1,2023-08-15 05:54:16,"Pengalaman naik GOCAR selama di medan, bukan hanya sekali atau dua kali bahkan sering Mobil bau Panas Ac ga bisa nyala dengan alasan kompresor rusak Driver bau",Negatif,pengalaman naik gocar selama di medan bukan hanya sekali atau dua kali bahkan sering mobil bau panas ac ga bisa nyala dengan alasan kompresor rusak driver bau,pengalaman gocar medan kali mobil bau panas ac ga nyala alasan kompresor rusak driver bau,"['pengalaman', 'gocar', 'medan', 'kali', 'mobil', 'bau', 'panas', 'ac', 'ga', 'nyala', 'alasan', 'kompresor', 'rusak', 'driver', 'bau']",alam gocar medan kali mobil bau panas ac ga nyala alas kompresor rusak driver bau
Hadi Nur Wachid,1,2023-08-15 04:34:59,"Paylater semenjak dipegang ""multifinance anak bangsa"" malah gak bisa dipake, anjeng. Kembalikan findaya.",Negatif,paylater semenjak dipegang multifinance anak bangsa malah gak bisa dipake anjeng kembalikan findaya,paylater semenjak dipegang multifinance anak bangsa gak dipake anjeng kembalikan findaya,"['paylater', 'semenjak', 'dipegang', 'multifinance', 'anak', 'bangsa', 'gak', 'dipake', 'anjeng', 'kembalikan', 'findaya']",paylater semenjak pegang multifinance anak bangsa gak dipake anjeng kembali findaya
Muhammad ilham,1,2023-08-15 02:59:54,"Kenapa setiap mau transaksi menggunakan gopay di minimarket sering bermasalah tidak menemukan jaringan, padahal jaringan bagus bagus aja.",Negatif,kenapa setiap mau transaksi menggunakan gopay di minimarket sering bermasalah tidak menemukan jaringan padahal jaringan bagus bagus aja,transaksi gopay minimarket bermasalah menemukan jaringan jaringan bagus bagus aja,"['transaksi', 'gopay', 'minimarket', 'bermasalah', 'menemukan', 'jaringan', 'jaringan', 'bagus', 'bagus', 'aja']",transaksi gopay minimarket masalah temu jaring jaring bagus bagus aja
Riski Purwanto,5,2023-08-15 00:17:42,Saya tetap sangat puas pake gojek.. tp kecewa karena fitur gopay laters saya jadi tidak bisa setelah di perbarui atau transisi ke yg baru. Padahal saya selalu bayar tepat waktu.. limit pun kecil cuma 100k.. sangat kecewa,Positif,saya tetap sangat puas pake gojek tp kecewa karena fitur gopay laters saya jadi tidak bisa setelah di perbarui atau transisi ke yg baru padahal saya selalu bayar tepat waktu limit pun kecil cuma k sangat kecewa,puas pake gojek tp kecewa fitur gopay laters perbarui transisi yg bayar limit k kecewa,"['puas', 'pake', 'gojek', 'tp', 'kecewa', 'fitur', 'gopay', 'laters', 'perbarui', 'transisi', 'yg', 'bayar', 'limit', 'k', 'kecewa']",puas pake gojek tp kecewa fitur gopay laters baru transisi yg bayar limit k kecewa
Resty Ata,5,2023-08-15 00:02:30,"Nyaman dan cepat tanggap, drivernya pun ramah",Positif,nyaman dan cepat tanggap drivernya pun ramah,nyaman cepat tanggap drivernya ramah,"['nyaman', 'cepat', 'tanggap', 'drivernya', 'ramah']",nyaman cepat tanggap drivernya ramah
Very Stywn,5,2023-08-14 22:03:15,"Customer servis via Email bagus, ramah bisa menangani masalah secara baik, mohon diperbaiki sistem keamanan nya soal tidak akuratnya user yg dianggap melanggar. customer servis di aplikasi tidak memuaskan cuma seperti formalitas saja. Drivernya ramah ramah, gercep, sopan",Positif,customer servis via email bagus ramah bisa menangani masalah secara baik mohon diperbaiki sistem keamanan nya soal tidak akuratnya user yg dianggap melanggar customer servis di aplikasi tidak memuaskan cuma seperti formalitas saja drivernya ramah ramah gercep sopan,customer servis via email bagus ramah menangani mohon diperbaiki sistem keamanan nya akuratnya user yg dianggap melanggar customer servis aplikasi memuaskan formalitas drivernya ramah ramah gercep sopan,"['customer', 'servis', 'via', 'email', 'bagus', 'ramah', 'menangani', 'mohon', 'diperbaiki', 'sistem', 'keamanan', 'nya', 'akuratnya', 'user', 'yg', 'dianggap', 'melanggar', 'customer', 'servis', 'aplikasi', 'memuaskan', 'formalitas', 'drivernya', 'ramah', 'ramah', 'gercep', 'sopan']",customer servis via email bagus ramah tangan mohon baik sistem aman nya akurat user yg anggap langgar customer servis aplikasi muas formalitas drivernya ramah ramah gercep sopan
Anggie Prakoso,1,2023-08-14 19:36:48,perbaiki lagi sistem aplikatornya. titik lokasi terkadang mental klo ga di cek lagi. buat yg awam ini jadi masalah komunikasi dengan driver. dan untuk aplikasi terkadang signal hilang tidak jelas. protect nya di perkuat. jgn buat kecewa!!! tq,Negatif,perbaiki lagi sistem aplikatornya titik lokasi terkadang mental klo ga di cek lagi buat yg awam ini jadi masalah komunikasi dengan driver dan untuk aplikasi terkadang signal hilang tidak jelas protect nya di perkuat jgn buat kecewa tq,perbaiki sistem aplikatornya titik lokasi terkadang mental klo ga cek yg awam komunikasi driver aplikasi terkadang signal hilang protect nya perkuat jgn kecewa tq,"['perbaiki', 'sistem', 'aplikatornya', 'titik', 'lokasi', 'terkadang', 'mental', 'klo', 'ga', 'cek', 'yg', 'awam', 'komunikasi', 'driver', 'aplikasi', 'terkadang', 'signal', 'hilang', 'protect', 'nya', 'perkuat', 'jgn', 'kecewa', 'tq']",baik sistem aplikatornya titik lokasi terkadang mental klo ga cek yg awam komunikasi driver aplikasi terkadang signal hilang protect nya kuat jgn kecewa tq
